"id","name","name_ar","number_of_students","start_time","end_time","place_id"
1,"Unity Games Development","تطوير ألعاب يونيتي",22,"16:00:00","20:00:00",6
2,"Cyber Security TUWAIQ GROUP 1","الأمن السيبراني طويق المجموعة 1",27,"10:00:00","15:00:00",19
3,"GRC","حوكمة المخاطر والامتثال",26,"17:00:00","21:00:00",19
4,"Drones Basics","أساسيات الطائرات بدون طيار",20,"18:00:00","20:00:00",23
5,"SPATIAL DATA SCIENCE","علم البيانات المكانية",23,"16:00:00","21:00:00",24
6,"Software Testing and Automation","اختبار البرمجيات والأتمتة",29,"18:00:00","22:00:00",25
7,"Vulnerabilities Analysis and detection GROUP 2","تحليل واكتشاف الثغرات المجموعة 2",24,"10:00:00","15:00:00",27
8,"Information Technology : Software Development","تقنية المعلومات: تطوير البرمجيات",20,"15:00:00","19:00:00",27
9,"UX/UI","تصميم تجربة وواجهة المستخدم",23,"10:00:00","15:00:00",28
10,"DRONES PROGRAMMING","برمجة الطائرات بدون طيار",27,"18:00:00","21:00:00",28
11,"Cyber Security TUWAIQ GROUP 2","الأمن السيبراني طويق المجموعة 2",28,"10:00:00","15:00:00",33
12,"CCNA CISCO","سيسكو CCNA",23,"17:00:00","21:00:00",33
